repo_name,total_issues,number_of_stars,descriptions,project_date,project_size,project_lang,last_updated,#_of_fork,#_open_issue,project_score,#_of_watcher,num_contributors,num_releases,Total Versions,Total Contributors,len_contributors_url,len_subscribers_url,len_git_commits_url,len_comments_url,len_issue_comment_url,len_downloads_url,N_issues
agconti/cookiecutter-django-rest,121,1441,Build best practiced apis fast with Python3,2015-06-04T16:46:49Z,5041,Python,2023-10-23T11:10:01Z,188,6,1,1441,2,2,8,19,74,73,79,79,86,71,121
aio-libs/aiohttp-devtools,377,246,dev tools for aiohttp,2016-09-22T12:03:09Z,669,Python,2023-10-21T04:12:06Z,45,5,1,246,2,2,36,23,67,66,72,72,79,64,377
aio-libs/create-aio-app,126,289,The boilerplate for aiohttp. Quick setup for your asynchronous web service.,2018-09-21T14:56:57Z,1368,Python,2023-10-16T17:40:23Z,84,40,1,289,2,2,9,28,65,64,70,70,77,62,126
artemnovichkov/swift-project-template,12,87,🍪 Easily generate Swift projects with Cookiecutter,2017-02-10T05:22:42Z,603,Swift,2023-05-31T10:43:28Z,17,1,1,87,2,2,0,5,79,78,84,84,91,76,12
arthurhenrique/cookiecutter-fastapi,129,341,"Cookiecutter template for FastAPI projects using: Machine Learning, Poetry, Github Actions and Pytests",2020-01-12T21:51:22Z,512,Python,2023-10-22T17:19:55Z,51,7,1,341,2,2,5,4,77,76,82,82,89,74,129
audreyfeldroy/cookiecutter-pypackage,161,3979,Cookiecutter template for a Python package.,2013-07-14T18:52:05Z,569,Python,2023-10-23T11:05:08Z,1779,102,1,3979,2,2,1,108,78,77,83,83,90,75,161
awesto/cookiecutter-django-shop,40,115,Cookiecutter django-SHOP is a blueprint for an e-commerce site based on django-CMS.,2018-08-08T13:11:36Z,7036,Python,2023-10-23T12:47:40Z,56,23,1,115,2,2,18,200,73,72,78,78,85,70,40
aws-samples/cookiecutter-aws-sam-pipeline,16,108,This project is a a cookiecutter template to create a generic CI/CD pipeline for Serverless App based on Serverless Application Model (SAM). ,2018-04-10T01:20:55Z,655,Python,2023-09-27T16:36:57Z,48,9,1,108,2,2,0,3,83,82,88,88,95,80,16
aws-samples/cookiecutter-aws-sam-python,21,218,A Cookiecutter template to create a Serverless App based on Serverless Application Model (SAM) and Python 3.8,2018-01-15T18:21:12Z,116,Python,2023-10-21T18:34:48Z,80,5,1,218,2,2,0,11,81,80,86,86,93,78,21
bbugyi200/cookie,5,277,A Template-based File Generator. Like cookiecutter but works with file templates instead of project templates.,2018-11-07T20:41:27Z,13083,Shell,2023-10-04T00:09:29Z,9,16,1,277,2,2,3,1,58,57,63,63,70,55,5
beeware/Python-Android-template,14,160,A cookiecutter template for creating an Android project running Python code.,2014-08-24T07:48:09Z,464,,2023-09-13T22:05:41Z,37,0,1,160,2,2,0,2,73,72,78,78,85,70,14
best-practice-and-impact/govcookiecutter,96,125,A cookiecutter template for data science projects within His Majesty's Government and wider public sector.,2020-02-26T12:05:49Z,1267,Python,2023-10-17T13:56:56Z,30,23,1,125,2,2,25,9,82,81,87,87,94,79,96
better-go/go-template,5,79,"boilerplate, golang project starter tool, support go-zero/go-micro/gin",2020-06-01T14:52:24Z,231,Go,2023-10-18T11:15:32Z,7,3,1,79,2,2,4,4,63,62,68,68,75,60,5
BrianPugh/python-template,81,174,"Python project and library template for clean, reliable, open-source projects.",2022-05-12T15:52:36Z,492,Python,2023-10-23T23:08:49Z,8,0,1,174,2,2,0,3,67,66,72,72,79,64,81
Buuntu/fastapi-react,202,1847,"🚀   Cookiecutter Template for FastAPI + React Projects.  Using PostgreSQL, SQLAlchemy, and Docker",2020-03-21T19:48:47Z,4396,Python,2023-10-23T16:03:24Z,303,44,1,1847,2,2,4,13,62,61,67,67,74,59,202
